species,sort.order,gene.class
gp0.3,1,1
gp0.7,2,1
gp1,3,1
gp1.1,4,2
gp1.2,5,2
gp1.3,6,2
gp1.4,7,2
gp1.5,8,2
gp1.6,9,2
gp1.7,10,2
gp1.8,11,2
gp2,12,2
gp2.5,13,2
gp2.8,14,2
gp3,15,2
gp3.5,16,2
gp3.8,17,2
gp4A,18,2
gp4.2,19,2
gp4.3,20,2
gp4.5,21,2
gp4.7,22,2
gp5,23,2
gp5.3,24,2
gp5.5,25,2
gp5.7,26,2
gp5.9,27,2
gp6,28,2
gp6.3,29,2
gp6.5,30,3
gp6.7,31,3
gp7,32,3
gp7.3,33,3
gp7.7,34,3
gp8,35,3
gp9,36,3
gp10A,36,3
sfGFP,37,3
gp11,38,3
gp12,39,3
gp13,40,3
gp14,41,3
gp15,42,3
gp16,43,3
gp17,44,3
gp17.5,45,3
gp18,46,3
gp18.5,47,3
gp18.7,48,3
gp19,49,3
gp19.2,50,3
gp19.3,51,3
gp19.5,52,3
